brandname,basevolumeshare,newvolumeshare,indexvolumeshare,basevaluesales,newvaluesales,indexvaluesales,basevalueshare,newvalueshare,indexvalueshare
LA VACHE QUI RIT,27.60810069,27.60830372,1.000007354,1108.779495,1108.787649,1.000007354,0.313556522,0.313558419,0.011357479
CHEEZY,16.36826135,16.36838173,1.000007354,482.2253034,482.2288499,1.000007354,0.136370567,0.136371393,0.008331453
EL MOUTAMAYEZ,3.533055864,3.533081844,1.000007353,99.76970701,99.77044065,1.000007353,0.028214305,0.028214475,0.007985856
LA NOUVELLE VACHE,1.884744607,1.884758538,1.000007391,56.01762959,56.01804361,1.000007391,0.015841466,0.015841563,0.008405151
LE BERBERE,6.677324069,6.677373176,1.000007354,224.1715323,224.173181,1.000007354,0.063394432,0.063394815,0.009494045
okids,0.861680511,0.861686852,1.000007358,28.32747593,28.32768438,1.000007359,0.008010849,0.008010897,0.00929683
PICON,1.16487965,1.164888214,1.000007352,41.18414603,41.18444887,1.000007353,0.011646642,0.011646712,0.009998211
TARTINO,7.704307872,7.70436457,1.000007359,285.3060474,285.3081471,1.00000736,0.080682924,0.080683413,0.010472506
WALID,0.65693752,0.656942306,1.000007285,17.16785511,17.16798018,1.000007285,0.004854972,0.004855001,0.007390354
KIRI,0.685479618,0.685484666,1.000007364,49.83811546,49.83848243,1.000007363,0.014093935,0.01409402,0.020560816
dialna,0.687927619,0.687932631,1.000007285,20.48760154,20.4877508,1.000007285,0.005793777,0.005793812,0.008422124
TOP SOUMA,1.162797759,1.162298885,0.999570971,30.63423553,30.62109256,0.999570971,0.008663187,0.008659459,0.00744709
FONDELICE,0,0,,0,0,,0,0,
