"brandname","basevolumeshare","newvolumeshare","indexvolumeshare","basevaluesales","newvaluesales","indexvaluesales","basevaluehare","newvaluehare","indexvaluehare"
"LA VACHE QUI RIT","27.6081006909","27.6081006909","1","1108.7794954591998","1108.7794954591998","1","0.31355652170000003","0.31355652170000003","0.011357410102584582"
"CHEEZY","16.3682613496","16.3682613496","1","482.22530339210005","482.22530339210005","1","0.1363705673","0.1363705673","0.008331402119464114"
"EL MOUTAMAYEZ","3.5330558641","3.5330558641","1","99.7697070128","99.7697070128","1","0.028214304500000002","0.028214304500000002","0.007985807636581832"
"LA NOUVELLE VACHE","1.8847446074","1.8847446074","1","56.0176295873","56.0176295873","1","0.0158414663","0.0158414663","0.008405099681836075"
"LE BERBERE","6.677324068700001","6.677324068700001","1","224.1715323455","224.1715323455","1","0.06339443169999999","0.06339443169999999","0.009493987568637232"
"okids","0.8616805114999999","0.8616805114999999","1","28.3274759301","28.3274759301","1","0.0080108488","0.0080108488","0.009296773796189076"
"PICON","1.1648796499","1.1648796499","1","41.18414603","41.18414603","1","0.011646641800000001","0.011646641800000001","0.009998150281876601"
"TARTINO","7.7043078722","7.7043078722","1","285.306047371","285.306047371","1","0.0806829241","0.0806829241","0.010472442877203014"
"WALID","0.6569375197","0.6569375197","1","17.1678551139","17.1678551139","1","0.0048549716","0.0048549716","0.0073903095110431395"
"KIRI","0.685479618","0.685479618","1","49.838115457","49.838115457","1","0.014093934999999998","0.014093934999999998","0.020560691565303404"
"dialna","0.6879276194","0.6879276194","1","20.4876015425","20.4876015425","1","0.0057937769","0.0057937769","0.008422073393496316"
"TOP SOUMA","1.1627977591","1.1627977591","1","30.6342355319","30.6342355319","1","0.0086631872","0.0086631872","0.007450295747650276"
"FONDELICE","0","0","","0","0","","0","0",""
