"base_cogs","base_cogs_sku","base_consumer_price","base_distributor_margin","base_distributor_margin_value","base_distributor_sales","base_gross_net","base_gross_net_value","base_gross_sales","base_gross_sales_per_sku","base_net_sales","base_net_sales_per_sku","base_price","base_price_to_retailer","base_retailer_margin","base_retailer_margin_value","base_sales_margin_per_sku","base_sales_margin_percent","base_sales_margin_value","base_size","base_sop","base_value_sales","base_value_share","base_vat","base_volume","base_volume_share","base_wd","cogs_index","company","diff_value_sales","distributor_margin_value_index","distributor_sales_index","gross_net_value_index","gross_sales_index","group_brand","group_manufacturer","group_segments","group_size","group_sub_brand","id","index_volume_share","is_active","net_sales_index","new_cogs","new_cogs_sku","new_consumer_price","new_distributor_margin","new_distributor_margin_value","new_distributor_sales","new_gross_net","new_gross_net_value","new_gross_sales","new_gross_sales_per_sku","new_net_sales","new_net_sales_per_sku","new_price","new_price_to_retailer","new_retailer_margin","new_retailer_margin_value","new_sales_margin_per_sku","new_sales_margin_percent","new_sales_margin_value","new_size","new_sop","new_value_sales","new_value_share","new_vat","new_volume","new_volume_share","new_wd","old_sop","old_volume_share","project_id","retailer_margin_value_index","sales","sales_margin_percent_index","sales_margin_value_index","sku_name","volume_index","newvat","basevat","baseretailermargin","newretailermargin","basedistributormargin","newdistributormargin","basegrosstonet","newgrosstonet","basecogspersku","newcogspersku"
"101.6554478391","225.2157425347","352.9411764706","0","0","138.1986262823","0.0500447941","6.9161217951","138.1986262823","306.1764705882","131.2825044872","290.8539321641","420","306.1764705882","0.1325","21.1081475301","65.6381896294","0.2256740665","29.6270566481","0.6","0.0156813405","189.5750608368","0.0536107467","0.19","0.2708215155","5.3734778444","71.856","1","true","0","","1","1","1","LA VACHE QUI RIT","GROUPE BEL","SPREAD BARRES","600","LVQR CHEF","169","1","true","1","101.6554478391","225.2157425347","352.9411764706","0","0","138.1986262823","0.0500447941","6.9161217951","138.1986262823","306.1764705882","131.2825044872","290.8539321641","420","306.1764705882","0.1325","21.1081475301","65.6381896294","0.2256740665","29.6270566481","0.6","0.0156813405","189.5750608368","0.0536107467","0.19","0.2708215155","5.3734778444","71.856","0.0156813405","5.3734778444","4","1","189.5750608368","1","1","LVQR CHEF 600G","1","","","","","","","","","",""
"70.7890992555","113.9324517615","184.8739495798","0","0","97.4670083076","0.0500447941","4.8777163608","97.4670083076","156.8695652174","92.5892919468","149.019060128","220","156.8695652174","0.1514782609","17.3998287018","35.0866083664","0.2354504742","21.8001926913","0.3","0.0118379945","136.6915360411","0.0386555873","0.19","0.1863975491","3.6983882126","73.9436","1","true","0","","1","1","1","LA VACHE QUI RIT","GROUPE BEL","SPREAD BARRES","300","LVQR CHEF","170","1","true","1","70.7890992555","113.9324517615","184.8739495798","0","0","97.4670083076","0.0500447941","4.8777163608","97.4670083076","156.8695652174","92.5892919468","149.019060128","220","156.8695652174","0.1514782609","17.3998287018","35.0866083664","0.2354504742","21.8001926913","0.3","0.0118379945","136.6915360411","0.0386555873","0.19","0.1863975491","3.6983882126","73.9436","0.0118379945","3.6983882126","4","1","136.6915360411","1","1","LVQR CHEF 300G","1","","","","","","","","","",""
"13.7750438446","121.0086023398","197.4789915966","0","0","18.910234303","0.0500447941","0.9463587818","18.910234303","166.1193277311","17.9638755212","157.8059201813","235","166.1193277311","0.1588","3.5698350063","36.7973178415","0.2331808452","4.1888316767","0.3","0.008410359","26.7512824781","0.0075651102","0.19","0.0341505734","0.6775951648","64.2697","1","true","0","","1","1","1","LA VACHE QUI RIT","GROUPE BEL","SPREAD BARRES","300","LVQR CHEF","174","1","true","1","13.7750438446","121.0086023398","197.4789915966","0","0","18.910234303","0.0500447941","0.9463587818","18.910234303","166.1193277311","17.9638755212","157.8059201813","235","166.1193277311","0.1588","3.5698350063","36.7973178415","0.2331808452","4.1888316767","0.3","0.008410359","26.7512824781","0.0075651102","0.19","0.0341505734","0.6775951648","64.2697","0.008410359","0.6775951648","4","1","26.7512824781","1","1","LVQR CHEF GREEN OLIVES 300G","1","","","","","","","","","",""
"12.0104556473","112.5682112812","189.0756302521","0","0","16.9698709375","0.0500447941","0.8492536967","16.9698709375","159.0504201681","16.1206172408","151.0907746417","225","159.0504201681","0.1588","3.2035372145","38.5225633605","0.2549630409","4.1101615935","0.3","0.0038052118","24.006355701","0.0067888606","0.19","0.0320084743","0.6350929209","62.8095","1","true","0","","1","1","1","LA VACHE QUI RIT","GROUPE BEL","SPREAD BARRES","300","LVQR CHEF","175","1","true","1","12.0104556473","112.5682112812","189.0756302521","0","0","16.9698709375","0.0500447941","0.8492536967","16.9698709375","159.0504201681","16.1206172408","151.0907746417","225","159.0504201681","0.1588","3.2035372145","38.5225633605","0.2549630409","4.1101615935","0.3","0.0038052118","24.006355701","0.0067888606","0.19","0.0320084743","0.6350929209","62.8095","0.0038052118","0.6350929209","4","1","24.006355701","1","1","LVQR CHEF AIL/HERBES 300G","1","","","","","","","","","",""
"10.5066713508","111.322481894","193.2773109244","0","0","15.3448414744","0.0500447941","0.7679294318","15.3448414744","162.5848739496","14.5769120425","154.4483474115","230","162.5848739496","0.1588","2.8967675061","43.1258655175","0.2792251665","4.0702406917","0.3","0.0104552409","21.7075146868","0.0061387614","0.19","0.0283141496","0.5617923496","47.8922","1","true","0","","1","1","1","LA VACHE QUI RIT","GROUPE BEL","SPREAD BARRES","300","LVQR CHEF","176","1","true","1","10.5066713508","111.322481894","193.2773109244","0","0","15.3448414744","0.0500447941","0.7679294318","15.3448414744","162.5848739496","14.5769120425","154.4483474115","230","162.5848739496","0.1588","2.8967675061","43.1258655175","0.2792251665","4.0702406917","0.3","0.0104552409","21.7075146868","0.0061387614","0.19","0.0283141496","0.5617923496","47.8922","0.0104552409","0.5617923496","4","1","21.7075146868","1","1","LVQR EMTL 300G","1","","","","","","","","","",""
"8.8197946306","121.3407922081","180.6722689076","0","0","11.0469505303","0.0500447941","0.5528423645","11.0469505303","151.981512605","10.4941081657","144.3756291021","215","151.981512605","0.1588","2.0854205233","23.034836894","0.1595479586","1.6743135351","0.3","0.0046996498","15.6275215538","0.004419374","0.19","0.021805844","0.4326584598","50.3425","1","true","0","","1","1","1","LA VACHE QUI RIT","GROUPE BEL","SPREAD BARRES","300","LVQR CHEF","177","1","true","1","8.8197946306","121.3407922081","180.6722689076","0","0","11.0469505303","0.0500447941","0.5528423645","11.0469505303","151.981512605","10.4941081657","144.3756291021","215","151.981512605","0.1588","2.0854205233","23.034836894","0.1595479586","1.6743135351","0.3","0.0046996498","15.6275215538","0.004419374","0.19","0.021805844","0.4326584598","50.3425","0.0046996498","0.4326584598","4","1","15.6275215538","1","1","LVQR CHEF GRILLE 300G","1","","","","","","","","","",""
"65.6514429717","52.9133389179","88.2352941176","0","0","90.2258090387","0.0686777347","6.1965041776","90.2258090387","72.7196326036","84.0293048611","67.7254129671","105","72.7196326036","0.1758441638","19.2508276342","14.8120740493","0.2187077701","18.3778618894","0.12","0.0173799623","130.2771976407","0.036841649","0.19","0.1488882259","2.9541507498","55.1676","1","true","0","","1","1","1","LA VACHE QUI RIT","GROUPE BEL","SPREAD PORTIONS","120","LVQR PORTIONS","183","1","true","1","65.6514429717","52.9133389179","88.2352941176","0","0","90.2258090387","0.0686777347","6.1965041776","90.2258090387","72.7196326036","84.0293048611","67.7254129671","105","72.7196326036","0.1758441638","19.2508276342","14.8120740493","0.2187077701","18.3778618894","0.12","0.0173799623","130.2771976407","0.036841649","0.19","0.1488882259","2.9541507498","55.1676","0.0173799623","2.9541507498","4","1","130.2771976407","1","1","LVQR ORG 8TP 120G","1","","","","","","","","","",""
"117.5755270839","144.2705739989","252.1008403361","0","0","171.8916685394","0.0686777347","11.8051304116","171.8916685394","210.9189752397","160.0865381278","196.4335378119","300","210.9189752397","0.1633547315","33.561795457","52.162963813","0.2655501927","42.5110110439","0.36","0.0325277111","244.4896221557","0.0691402717","0.19","0.2933875466","5.8212194795","56.7802","1","true","0","","1","1","1","LA VACHE QUI RIT","GROUPE BEL","SPREAD PORTIONS","360","LVQR PORTIONS","184","1","true","1","117.5755270839","144.2705739989","252.1008403361","0","0","171.8916685394","0.0686777347","11.8051304116","171.8916685394","210.9189752397","160.0865381278","196.4335378119","300","210.9189752397","0.1633547315","33.561795457","52.162963813","0.2655501927","42.5110110439","0.36","0.0325277111","244.4896221557","0.0691402717","0.19","0.2933875466","5.8212194795","56.7802","0.0325277111","5.8212194795","4","1","244.4896221557","1","1","LVQR ORG 24P 360G","1","","","","","","","","","",""
"135.2483828471","95.9376841595","168.0672268908","0","0","198.4018381001","0.0686777347","13.6257888039","198.4018381001","140.7352345338","184.7760492961","131.0698574315","200","140.7352345338","0.1626253545","38.5313424923","35.132173272","0.2680415922","49.527666449","0.24","0.0344946849","281.9504849049","0.0797339901","0.19","0.3383405819","6.7131506054","68.4671","1","true","0","","1","1","1","LA VACHE QUI RIT","GROUPE BEL","SPREAD PORTIONS","240","LVQR PORTIONS","185","1","true","1","135.2483828471","95.9376841595","168.0672268908","0","0","198.4018381001","0.0686777347","13.6257888039","198.4018381001","140.7352345338","184.7760492961","131.0698574315","200","140.7352345338","0.1626253545","38.5313424923","35.132173272","0.2680415922","49.527666449","0.24","0.0344946849","281.9504849049","0.0797339901","0.19","0.3383405819","6.7131506054","68.4671","0.0344946849","6.7131506054","4","1","281.9504849049","1","1","LVQR ORG 16P 240G","1","","","","","","","","","",""
"5.3002265535","105.8153349918","189.0756302521","0","0","7.9372756327","0.0686777347","0.5451141103","7.9372756327","158.4621848739","7.3921615224","147.5793609789","225","158.4621848739","0.1619111111","1.5334090857","41.7640259871","0.2829936768","2.0919349689","0.24","0.0227641917","11.270114815","0.0031871242","0.19","0.0120214558","0.2385225055","49.287","1","true","0","","1","1","1","LA VACHE QUI RIT","GROUPE BEL","SPREAD PORTIONS","240","LVQR PORTIONS","187","1","true","1","5.3002265535","105.8153349918","189.0756302521","0","0","7.9372756327","0.0686777347","0.5451141103","7.9372756327","158.4621848739","7.3921615224","147.5793609789","225","158.4621848739","0.1619111111","1.5334090857","41.7640259871","0.2829936768","2.0919349689","0.24","0.0227641917","11.270114815","0.0031871242","0.19","0.0120214558","0.2385225055","49.287","0.0227641917","0.2385225055","4","1","11.270114815","1","1","LVQR EMTL 16P 240G","1","","","","","","","","","",""
