"ad_diff_vs","base_cogs","base_cogs_sku","base_consumer_price","base_distributor_margin","base_distributor_margin_value","base_distributor_sales","base_gross_net","base_gross_net_value","base_gross_sales","base_gross_sales_per_sku","base_net_sales","base_net_sales_per_sku","base_price","base_price_to_retailer","base_retailer_margin","base_retailer_margin_value","base_sales_margin_per_sku","base_sales_margin_percent","base_sales_margin_value","base_size","base_sop","base_value_sales","base_value_share","base_vat","base_volume","base_volume_share","base_wd","cogs_index","company","diff_value_sales","diff_vs","distributor_margin_value_index","distributor_sales_index","gross_net_value_index","gross_sales_index","group_brand","group_manufacturer","group_segments","group_size","group_sub_brand","id","index_volume_share","is_active","net_sales_index","new_cogs","new_cogs_sku","new_consumer_price","new_distributor_margin","new_distributor_margin_value","new_distributor_sales","new_gross_net","new_gross_net_value","new_gross_sales","new_gross_sales_per_sku","new_net_sales","new_net_sales_per_sku","new_price","new_price_to_retailer","new_retailer_margin","new_retailer_margin_value","new_sales_margin_per_sku","new_sales_margin_percent","new_sales_margin_value","new_size","new_sop","new_value_sales","new_value_share","new_vat","new_volume","new_volume_share","new_wd","old_sop","old_volume_share","project_id","retailer_margin_value_index","sales","sales_margin_percent_index","sales_margin_value_index","sku_name","volume_index","newvat","basevat","baseretailermargin","newretailermargin","basedistributormargin","newdistributormargin","basegrosstonet","newgrosstonet","basecogspersku","newcogspersku"
"0.0000395208","101.65544784","225.2157425347","352.9411764706","0","0","138.1986262835","0.0500447941","6.9161217973","138.1986262835","306.1764705882","131.2825044863","290.8539321594","420","306.1764705882","0.1325","21.1081475303","65.6381896247","0.2256740665","29.6270566463","0.6","0.0156813405","189.5750608385","0.0536107467","0.19","0.2708215155","5.3734778444","71.856","1.0000073548","true","0.001394284","0.0000395208","","1.0000073548","1.0000073548","1.0000073548","LA VACHE QUI RIT","GROUPE BEL","SPREAD BARRES","600","LVQR CHEF","169","1.0000073548","true","1.0000073548","101.6561954941","225.2157425347","352.9411764706","0","0","138.1996427048","0.0500447941","6.9161726639","138.1996427048","306.1764705882","131.283470041","290.8539321594","420","306.1764705882","0.1325","21.1083027762","65.6381896247","0.2256740665","29.6272745469","0.6","0.0156814558","189.5764551225","0.0536110712","0.19","0.2708235073","5.3735173652","71.856","0.0156813405","5.3734778444","4","1.0000073548","189.5750608368","1","1.0000073548","LVQR CHEF 600G","1.0000073548","","","","","","","","","",""
"0.0000271862","70.7890992549","113.9324517615","184.8739495798","0","0","97.4670083032","0.0500447941","4.8777163621","97.4670083032","156.8695652118","92.5892919411","149.0190601202","220","156.8695652118","0.1514782609","17.3998287051","35.0866083587","0.2354504741","21.8001926863","0.3","0.0118379945","136.6915360399","0.0386555873","0.19","0.1863975491","3.6983882126","73.9436","1.0000073508","true","0.0010047945","0.0000271862","","1.0000073508","1.0000073508","1.0000073508","LA VACHE QUI RIT","GROUPE BEL","SPREAD BARRES","300","LVQR CHEF","170","1.0000073508","true","1.0000073508","70.7896196126","113.9324517615","184.8739495798","0","0","97.4677247654","0.0500447941","4.8777522173","97.4677247654","156.8695652118","92.5899725481","149.0190601202","220","156.8695652118","0.1514782609","17.3999566081","35.0866083587","0.2354504741","21.8003529355","0.3","0.0118380815","136.6925408344","0.0386558211","0.19","0.1863989193","3.6984153988","73.9436","0.0118379945","3.6983882126","4","1.0000073508","136.6915360411","1","1.0000073508","LVQR CHEF 300G","1.0000073508","","","","","","","","","",""
"0.0000049812","13.7750438449","121.0086023398","197.4789915966","0","0","18.9102343035","0.0500447941","0.9463587821","18.9102343035","166.1193277311","17.9638755214","157.8059201788","235","166.1193277311","0.1588","3.5698350064","36.797317839","0.2331808452","4.1888316765","0.3","0.008410359","26.7512824787","0.0075651102","0.19","0.0341505734","0.6775951648","64.2697","1.0000073512","true","0.000196655","0.0000049812","","1.0000073512","1.0000073512","1.0000073512","LA VACHE QUI RIT","GROUPE BEL","SPREAD BARRES","300","LVQR CHEF","174","1.0000073512","true","1.0000073512","13.7751451085","121.0086023398","197.4789915966","0","0","18.9103733171","0.0500447941","0.946365739","18.9103733171","166.1193277311","17.9640075781","157.8059201788","235","166.1193277311","0.1588","3.5698612491","36.797317839","0.2331808452","4.1888624696","0.3","0.0084104208","26.7514791338","0.007565156","0.19","0.0341508244","0.677600146","64.2697","0.008410359","0.6775951648","4","1.0000073512","26.7512824781","1","1.0000073512","LVQR CHEF GREEN OLIVES 300G","1.0000073512","","","","","","","","","",""
"0.0000046707","12.0104556472","112.5682112812","189.0756302521","0","0","16.9698709374","0.0500447941","0.849253697","16.9698709374","159.0504201681","16.1206172405","151.0907746392","225","159.0504201681","0.1588","3.2035372145","38.522563358","0.2549630409","4.1101615933","0.3","0.0038052118","24.0063557008","0.0067888606","0.19","0.0320084743","0.6350929209","62.8095","1.0000073544","true","0.0001765521","0.0000046707","","1.0000073544","1.0000073544","1.0000073544","LA VACHE QUI RIT","GROUPE BEL","SPREAD BARRES","300","LVQR CHEF","175","1.0000073544","true","1.0000073544","12.0105439768","112.5682112812","189.0756302521","0","0","16.9699957405","0.0500447941","0.8492599427","16.9699957405","159.0504201681","16.1207357978","151.0907746392","225","159.0504201681","0.1588","3.2035607746","38.522563358","0.2549630409","4.110191821","0.3","0.0038052398","24.006532253","0.0067889017","0.19","0.0320087097","0.6350975916","62.8095","0.0038052118","0.6350929209","4","1.0000073544","24.006355701","1","1.0000073544","LVQR CHEF AIL/HERBES 300G","1.0000073544","","","","","","","","","",""
"0.0000041303","10.5066713503","111.322481894","193.2773109244","0","0","15.3448414737","0.0500447941","0.767929432","15.3448414737","162.5848739496","14.5769120416","154.448347409","230","162.5848739496","0.1588","2.896767506","43.125865515","0.2792251665","4.0702406913","0.3","0.0104552409","21.7075146858","0.0061387614","0.19","0.0283141496","0.5617923496","47.8922","1.000007352","true","0.0001595944","0.0000041303","","1.000007352","1.000007352","1.000007352","LA VACHE QUI RIT","GROUPE BEL","SPREAD BARRES","300","LVQR CHEF","176","1.000007352","true","1.000007352","10.5067485957","111.322481894","193.2773109244","0","0","15.3449542895","0.0500447941","0.7679350779","15.3449542895","162.5848739496","14.5770192116","154.448347409","230","162.5848739496","0.1588","2.8967888031","43.125865515","0.2792251665","4.0702706159","0.3","0.0104553178","21.7076742802","0.0061387986","0.19","0.0283143578","0.5617964799","47.8922","0.0104552409","0.5617923496","4","1.000007352","21.7075146868","1","1.000007352","LVQR EMTL 300G","1.000007352","","","","","","","","","",""
"0.0000031832","8.8197946309","121.3407922081","180.6722689076","0","0","11.0469505307","0.0500447941","0.5528423647","11.0469505307","151.981512605","10.4941081659","144.3756290997","215","151.981512605","0.1588","2.0854205234","23.0348368916","0.1595479586","1.674313535","0.3","0.0046996498","15.6275215543","0.004419374","0.19","0.021805844","0.4326584598","50.3425","1.0000073573","true","0.0001149769","0.0000031832","","1.0000073573","1.0000073573","1.0000073573","LA VACHE QUI RIT","GROUPE BEL","SPREAD BARRES","300","LVQR CHEF","177","1.0000073573","true","1.0000073573","8.8198595211","121.3407922081","180.6722689076","0","0","11.0470318068","0.0500447941","0.5528464322","11.0470318068","151.981512605","10.4941853746","144.3756290997","215","151.981512605","0.1588","2.0854358665","23.0348368916","0.1595479586","1.6743258535","0.3","0.0046996844","15.6276365312","0.0044194008","0.19","0.0218060045","0.432661643","50.3425","0.0046996498","0.4326584598","4","1.0000073573","15.6275215538","1","1.0000073573","LVQR CHEF GRILLE 300G","1.0000073573","","","","","","","","","",""
"0.0000217215","65.6514429714","52.9133389179","88.2352941176","0","0","90.225809041","0.0686777347","6.1965041764","90.225809041","72.7196326059","84.0293048646","67.7254129703","105","72.7196326059","0.1758441638","19.2508276313","14.8120740524","0.2187077701","18.3778618932","0.12","0.0173799623","130.27719764","0.036841649","0.19","0.1488882259","2.9541507498","55.1676","1.0000073529","true","0.0009579139","0.0000217215","","1.0000073529","1.0000073529","1.0000073529","LA VACHE QUI RIT","GROUPE BEL","SPREAD PORTIONS","120","LVQR PORTIONS","183","1.0000073529","true","1.0000073529","65.6519256993","52.9133389179","88.2352941176","0","0","90.2264724615","0.0686777347","6.1965497386","90.2264724615","72.7196326059","84.0299227228","67.7254129703","105","72.7196326059","0.1758441638","19.2509691805","14.8120740524","0.2187077701","18.3779970236","0.12","0.0173800901","130.2781555539","0.0368418719","0.19","0.1488893206","2.9541724713","55.1676","0.0173799623","2.9541507498","4","1.0000073529","130.2771976407","1","1.0000073529","LVQR ORG 8TP 120G","1.0000073529","","","","","","","","","",""
"0.0000428209","117.5755270834","144.2705739989","252.1008403361","0","0","171.8916685488","0.0686777347","11.8051304097","171.8916685488","210.9189752521","160.086538139","196.4335378265","300","210.9189752521","0.1633547315","33.5617954467","52.1629638276","0.2655501927","42.5110110556","0.36","0.0325277111","244.4896221547","0.0691402717","0.19","0.2933875466","5.8212194795","56.7802","1.000007356","true","0.0017984661","0.0000428209","","1.000007356","1.000007356","1.000007356","LA VACHE QUI RIT","GROUPE BEL","SPREAD PORTIONS","360","LVQR PORTIONS","184","1.000007356","true","1.000007356","117.5763919692","144.2705739989","252.1008403361","0","0","171.8929329842","0.0686777347","11.8052172483","171.8929329842","210.9189752521","160.0877157359","196.4335378265","300","210.9189752521","0.1633547315","33.5620423274","52.1629638276","0.2655501927","42.5113237667","0.36","0.0325279504","244.4914206208","0.0691406902","0.19","0.2933897047","5.8212623004","56.7802","0.0325277111","5.8212194795","4","1.000007356","244.4896221557","1","1.000007356","LVQR ORG 24P 360G","1.000007356","","","","","","","","","",""
"0.000049367","135.248382847","95.9376841595","168.0672268908","0","0","198.4018381056","0.0686777347","13.6257888014","198.4018381056","140.7352345378","184.7760493041","131.0698574373","200","140.7352345378","0.1626253545","38.5313424866","35.1321732778","0.2680415922","49.5276664571","0.24","0.0344946849","281.9504849047","0.0797339901","0.19","0.3383405819","6.7131506054","68.4671","1.0000073538","true","0.0020734006","0.000049367","","1.0000073538","1.0000073538","1.0000073538","LA VACHE QUI RIT","GROUPE BEL","SPREAD PORTIONS","240","LVQR PORTIONS","185","1.0000073538","true","1.0000073538","135.2493774333","95.9376841595","168.0672268908","0","0","198.4032971082","0.0686777347","13.6258890024","198.4032971082","140.7352345378","184.7774081058","131.0698574373","200","140.7352345378","0.1626253545","38.5316258375","35.1321732778","0.2680415922","49.5280306725","0.24","0.0344949386","281.9525583053","0.0797344726","0.19","0.33834307","6.7131999724","68.4671","0.0344946849","6.7131506054","4","1.0000073538","281.9504849049","1","1.0000073538","LVQR ORG 16P 240G","1.0000073538","","","","","","","","","",""
"0.0000017543","5.3002265538","105.8153349918","189.0756302521","0","0","7.9372756333","0.0686777347","0.5451141102","7.9372756333","158.4621848761","7.3921615231","147.5793609832","225","158.4621848761","0.1619111111","1.5334090857","41.7640259914","0.2829936768","2.0919349693","0.24","0.0227641917","11.2701148156","0.0031871242","0.19","0.0120214558","0.2385225055","49.287","1.0000073547","true","0.0000828884","0.0000017543","","1.0000073547","1.0000073547","1.0000073547","LA VACHE QUI RIT","GROUPE BEL","SPREAD PORTIONS","240","LVQR PORTIONS","187","1.0000073547","true","1.0000073547","5.3002655354","105.8153349918","189.0756302521","0","0","7.9373340096","0.0686777347","0.5451181193","7.9373340096","158.4621848761","7.3922158903","147.5793609832","225","158.4621848761","0.1619111111","1.5334203635","41.7640259914","0.2829936768","2.0919503548","0.24","0.0227643591","11.270197704","0.0031871435","0.19","0.0120215442","0.2385242598","49.287","0.0227641917","0.2385225055","4","1.0000073547","11.270114815","1","1.0000073547","LVQR EMTL 16P 240G","1.0000073547","","","","","","","","","",""
